Nome do Banco;CNPJ;Classificação do Banco;Quantidade de Clientes do Bancos;Índice de reclamações;Quantidade de reclamações;Índice de satisfação dos funcionários dos bancos;Índice de satisfação com salários dos funcionários dos bancos;ano_tri
BRICKELL S.A. CFI;12865507;S4;25477;;2.0;0.0;0.0;202204
BRL TRUST DTVM SA;13486793;S4;;0.0;;0.0;0.0;
BROKER BRASIL CC LTDA.;16944141;S4;;0.0;;0.0;0.0;
BROOKFIELD;33923111;S4;;0.0;;0.0;0.0;
BRX CC LTDA.;17904906;S4;;0.0;;0.0;0.0;
BTG PACTUAL;30306294;S1;766998;;133.0;4.0;4.4;202101
C H B - CIA HIPOT. BRASILEIRA;10694628;S4;;0.0;;0.0;0.0;
CAIXA ECONOMICA FEDERAL;360305;S1;145367310;;16524.0;4.4;4.3;202101
CAIXA ECONOMICA FEDERAL;360305;S1;145684233;;16006.0;4.4;4.3;202102
CAIXA ECONOMICA FEDERAL;360305;S1;145914729;;11872.0;4.4;4.3;202103
CAIXA ECONOMICA FEDERAL;360305;S1;145144708;;8650.0;4.4;4.3;202104
CAIXA ECONOMICA FEDERAL;360305;S1;145044033;;6566.0;4.4;4.3;202201
CAIXA ECONOMICA FEDERAL;360305;S1;148308904;;8346.0;4.4;4.3;202203
CAIXA ECONOMICA FEDERAL;360305;S1;148128348;;6142.0;4.4;4.3;202204
CAIXA GERAL;33466988;S4;982;;5.0;0.0;0.0;202203
CAIXA GERAL;33466988;S4;1006;;2.0;0.0;0.0;202204
CAMBIALL CASH CC LTDA.;14652687;S4;;0.0;;0.0;0.0;
CAMBIONET CC LTDA;14190547;S4;;0.0;;0.0;0.0;
CAROL DTVM LTDA.;62237649;S4;;0.0;;0.0;0.0;
CARTOS SCMEPP LTDA.;21332862;S5;;0.0;;0.0;0.0;
CARUANA SCFI;9313766;S4;;0.0;;0.0;0.0;
CASA CREDITO S.A. SCM;5442029;S5;;0.0;;0.0;0.0;
CC A�ORIANA LTDA.;15761217;S4;;0.0;;0.0;0.0;
CCB;7450604;S3;224649;;151.0;0.0;0.0;202101
CCB;7450604;S3;216849;;129.0;0.0;0.0;202102
CCB;7450604;S3;205490;;160.0;0.0;0.0;202103
CCB;7450604;S3;194385;;124.0;0.0;0.0;202104
CCB;7450604;S3;183466;;83.0;0.0;0.0;202201
CCB;7450604;S3;160508;;83.0;0.0;0.0;202203
CCB;7450604;S3;153165;;42.0;0.0;0.0;202204
CENTRAL DAS COOPERATIVAS DE CREDITO MUTUO DO RIO GRANDE DO SUL;3618104;S4;;0.0;;0.0;0.0;
CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB;5036532;S4;;0.0;;0.0;0.0;
CENTRAL DAS COOPERATIVAS DE CR�DITO DO BRASIL CENTRAL, AMAZONAS OCIDENTAL E MUNIC�PIO DE UB�;4243780;S4;;0.0;;0.0;0.0;
